category,grp,code,descript
INCI TYPE ,10,100,"Fire, Other                                       "
INCI TYPE ,11,110,"Structure fire, Other (conversion only)           "
INCI TYPE ,11,111,Building fire                                     
INCI TYPE ,11,112,Fires in structure other than in a building       
INCI TYPE ,11,113,"Cooking fire, confined to container               "
INCI TYPE ,11,114,"Chimney or flue fire, confined to chimney or flue "
INCI TYPE ,11,115,"Incinerator overload or malfunction, fire confined"
INCI TYPE ,11,116,"Fuel burner/boiler malfunction, fire confined     "
INCI TYPE ,11,117,"Commercial Compactor fire, confined to rubbish    "
INCI TYPE ,11,118,"Trash or rubbish fire, contained                  "
INCI TYPE ,12,120,"Fire in mobile prop used as a fixed struc, Other  "
INCI TYPE ,12,121,Fire in mobile home used as fixed residence       
INCI TYPE ,12,122,"Fire in motor home, camper, recreational vehicle  "
INCI TYPE ,12,123,"Fire in portable building, fixed location         "
INCI TYPE ,13,130,"Mobile property (vehicle) fire, Other             "
INCI TYPE ,13,131,Passenger vehicle fire                            
INCI TYPE ,13,132,Road freight or transport vehicle fire            
INCI TYPE ,13,133,Rail vehicle fire                                 
INCI TYPE ,13,134,Water vehicle fire                                
INCI TYPE ,13,135,Aircraft fire                                     
INCI TYPE ,13,136,Self-propelled motor home or recreational vehicle 
INCI TYPE ,13,137,Camper or recreational vehicle (RV) fire          
INCI TYPE ,13,138,Off-road vehicle or heavy equipment fire          
INCI TYPE ,14,140,"Natural vegetation fire, Other                    "
INCI TYPE ,14,141,"Forest, woods or wildland fire                    "
INCI TYPE ,14,142,Brush or brush-and-grass mixture fire             
INCI TYPE ,14,143,Grass fire                                        
INCI TYPE ,15,150,"Outside rubbish fire, Other                       "
INCI TYPE ,15,151,"Outside rubbish, trash or waste fire              "
INCI TYPE ,15,152,Garbage dump or sanitary landfill fire            
INCI TYPE ,15,153,Construction or demolition landfill fire          
INCI TYPE ,15,154,Dumpster or other outside trash receptacle fire   
INCI TYPE ,15,155,Outside stationary compactor/compacted trash fire 
