category,grp,code,descript
PROP USE  ,O,0,"Property Use, Other                               "
PROP USE  ,1,100,"Assembly, Other                                   "
PROP USE  ,1,110,"Fixed-use recreation places, other                "
PROP USE  ,1,111,Bowling establishment                             
PROP USE  ,1,112,"Billiard center, pool hall                        "
PROP USE  ,1,113,Electronic amusement center                       
PROP USE  ,1,114,"Ice rink: indoor, outdoor                         "
PROP USE  ,1,115,Roller rink: indoor or outdoor                    
PROP USE  ,1,116,Swimming facility: indoor or outdoor              
PROP USE  ,1,120,"Variable-use amusement, recreation places, other  "
PROP USE  ,1,121,"Ballroom, gymnasium                               "
PROP USE  ,1,122,"Convention center, exhibition hall                "
PROP USE  ,1,123,"Stadium, arena                                    "
PROP USE  ,1,124,Playground                                        
PROP USE  ,1,129,Amusement center: indoor/outdoor                  
PROP USE  ,1,130,"Places of worship, funeral parlors, other         "
PROP USE  ,1,131,"Church, mosque, synagogue, temple, chapel         "
PROP USE  ,1,134,Funeral parlor                                    
PROP USE  ,1,140,"Clubs, Other                                      "
PROP USE  ,1,141,Athletic/health club                              
PROP USE  ,1,142,Clubhouse                                         
PROP USE  ,1,143,Yacht Club                                        
PROP USE  ,1,144,"Casino, gambling clubs                            "
PROP USE  ,1,150,"Public or government, Other                       "
PROP USE  ,1,151,Library                                           
PROP USE  ,1,152,Museum                                            
PROP USE  ,1,154,"Memorial structure, including monuments & statues "
PROP USE  ,1,155,Courthouse                                        
PROP USE  ,1,160,"Eating, drinking places, other                    "
PROP USE  ,1,161,Restaurant or cafeteria                           
PROP USE  ,1,162,Bar or nightclub                                  
PROP USE  ,1,170,"Passenger terminal, Other                         "
PROP USE  ,1,171,Airport passenger terminal                        
PROP USE  ,1,173,Bus station                                       
PROP USE  ,1,174,Rapid transit station                             
PROP USE  ,1,180,"Studio/theater, Other                             "
PROP USE  ,1,181,Live performance theater                          
PROP USE  ,1,182,"Auditorium, concert hall                          "
PROP USE  ,1,183,Movie theater                                     
PROP USE  ,1,185,"Radio, television studio                          "
PROP USE  ,1,186,Film/movie production studio                      
PROP USE  ,2,200,"Educational, Other                                "
PROP USE  ,2,210,"Schools, non-adult, other                         "
PROP USE  ,2,211,Preschool                                         
PROP USE  ,2,213,"Elementary school, including kindergarten         "
PROP USE  ,2,215,High school/junior high school/middle school      
PROP USE  ,2,241,"Adult education center, college classroom         "
PROP USE  ,2,254,"Day care, in commercial property                  "
PROP USE  ,2,255,"Day care, in residence, licensed                  "
PROP USE  ,2,256,"Day care in residence, unlicensed.                "
PROP USE  ,3,300,"Health care, detention, & correction, Other       "
PROP USE  ,3,311,"24-hour care Nursing homes, 4 or more persons     "
PROP USE  ,3,321,Mental retardation/development disability facility
PROP USE  ,3,322,Alcohol or substance abuse recovery center        
PROP USE  ,3,323,"Asylum, mental institution                        "
PROP USE  ,3,331,Hospital - medical or psychiatric                 
PROP USE  ,3,332,Hospices                                          
PROP USE  ,3,340,"Clinics, doctors offices, hemodialysis cntr, other"
PROP USE  ,3,341,"Clinic, clinic-type infirmary                     "
PROP USE  ,3,342,"Doctor, dentist or oral surgeon office            "
PROP USE  ,3,343,Hemodialysis unit                                 
PROP USE  ,3,361,"Jail, prison (not juvenile)                       "
PROP USE  ,3,363,"Reformatory, juvenile detention center            "
PROP USE  ,3,365,Police station                                    
PROP USE  ,4,400,"Residential, Other                                "
PROP USE  ,4,419,1 or 2 family dwelling                            
PROP USE  ,4,429,Multifamily dwelling                              
PROP USE  ,4,439,"Boarding/rooming house, residential hotels        "
PROP USE  ,4,449,"Hotel/motel, commercial                           "
PROP USE  ,4,459,Residential board and care                        
PROP USE  ,4,460,"Dormitory-type residence, other                   "
PROP USE  ,4,462,"Sorority house, fraternity house                  "
PROP USE  ,4,464,"Barracks, dormitory                               "
PROP USE  ,5,500,"Mercantile, business, Other                       "
PROP USE  ,5,511,Convenience store                                 
PROP USE  ,5,519,"Food and beverage sales, grocery store            "
PROP USE  ,5,529,"Textile, wearing apparel sales                    "
PROP USE  ,5,539,"Household goods, sales, repairs                   "
PROP USE  ,5,549,Specialty shop                                    
PROP USE  ,5,557,"Personal service, including barber & beauty shops "
PROP USE  ,5,559,"Recreational, hobby, home repair sales, pet store "
PROP USE  ,5,564,"Laundry, dry cleaning                             "
PROP USE  ,5,569,"Professional supplies, services                   "
PROP USE  ,5,571,"Service station, gas station                      "
