Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2020-10-12 11:58 (EST),On Demand,Hannah Corbin,20,Cycling,Beginner,20 min Beginner Ride,2020-09-21 06:30 (EST),65,54,33%,66,12.11,4.03,80,,,
2020-10-13 07:54 (EST),On Demand,Kendall Toole,60,Cycling,Music,60 min Pop Ride,2020-09-06 07:54 (EST),319,89,40%,70,15.04,15.03,392,,,
2020-10-14 07:15 (EST),On Demand,Kendall Toole,10,Cycling,Low Impact,10 min Low Impact Ride,2020-09-13 08:35 (EST),47,79,36%,76,14.27,2.37,58,,,
2020-10-14 07:30 (EST),Live,Christine D'Ercole,30,Cycling,Music,30 min Rock Ride,2020-10-14 07:17 (EST),127,71,31%,87,13.88,6.93,156,,,
2020-10-14 08:05 (EST),On Demand,Kendall Toole,30,Cycling,Intervals,30 min HIIT Ride,2020-10-12 11:23 (EST),110,61,30%,82,12.82,6.41,136,,,
2020-10-15 11:36 (EST),On Demand,Leanne Hainsby,60,Cycling,Music,60 min 90s Ride,2020-07-02 08:50 (EST),304,84,37%,76,14.83,14.82,374,,,
2020-10-16 14:25 (EST),On Demand,Alex Toussaint,45,Cycling,Music,45 min Hip Hop Ride,2020-10-12 19:19 (EST),234,87,36%,80,14.96,11.22,288,71.01,,
2020-10-16 15:13 (EST),On Demand,Ally Love,20,Cycling,Low Impact,20 min Recovery Ride,2020-10-12 17:00 (EST),71,59,30%,81,12.90,4.30,87,,,
2020-10-17 08:00 (EST),Live,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,2020-10-17 07:53 (EST),250,69,29%,93,13.67,13.67,307,,,
2020-10-17 09:10 (EST),On Demand,Matt Wilpers,15,Cycling,Low Impact,15 min Low Impact Ride,2020-01-30 09:30 (EST),59,66,34%,76,13.46,3.37,73,,,
2020-10-17 09:33 (EST),On Demand,Robin Arzon,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-10-16 12:10 (EST),,,,,,,46,,,
2020-10-18 13:23 (EST),On Demand,Matt Wilpers,20,Cycling,Power Zone,20 min Power Zone Beginner Ride,2020-01-30 08:30 (EST),70,58,27%,91,12.76,4.24,86,,,
2020-10-19 18:23 (EST),On Demand,Cody Rigsby,30,Cycling,Music,30 min Britney Spears Ride,2020-07-15 19:19 (EST),156,87,37%,80,14.92,7.45,192,,,
2020-10-19 18:58 (EST),On Demand,Cody Rigsby,30,Cycling,Music,30 min Backstreet Boys Ride,2019-05-17 12:18 (EST),138,77,38%,68,13.60,6.80,170,,,
2020-10-20 16:54 (EST),On Demand,Cody Rigsby,45,Cycling,Music,45 min 90s Pop Ride,2018-11-07 07:49 (EST),41,73,34%,81,14.03,2.20,51,,,
2020-10-20 17:09 (EST),On Demand,,60,Cycling,Scenic Ride,60 min Bright Lights Big City Scenic Ride,,120,59,30%,81,12.72,7.21,147,,,
2020-10-20 17:53 (EST),On Demand,Kendall Toole,30,Cycling,Music,30 min Hip Hop Ride,2020-10-18 07:55 (EST),124,69,37%,67,13.31,6.65,153,,,
2020-10-20 18:25 (EST),On Demand,Kendall Toole,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-06-08 10:00 (EST),,,,,,,11,,,
2020-10-21 06:45 (EST),On Demand,Chelsea Jackson Roberts,45,Yoga,Power,45 min Power Yoga,2020-10-19 17:53 (EST),,,,,,,148,,,
2020-10-21 07:41 (EST),On Demand,Cody Rigsby,30,Cycling,Music,30 min Pop Ride,2020-10-20 19:30 (EST),142,79,37%,76,14.39,7.19,175,,,
2020-10-23 05:33 (EST),On Demand,Alex Toussaint,20,Cycling,Beginner,20 min Beginner Ride,2019-12-07 10:00 (EST),81,68,31%,81,13.40,4.47,100,,,
2020-10-23 05:56 (EST),On Demand,Robin Arzon,20,Cycling,Beginner,20 min Beginner Ride,2019-11-13 16:16 (EST),77,64,32%,80,13.22,4.41,95,,,
2020-10-23 06:19 (EST),On Demand,Leanne Hainsby,20,Cycling,Low Impact,20 min Low Impact Ride,2019-11-21 05:22 (EST),88,74,36%,73,13.95,4.65,108,,,
2020-10-23 06:42 (EST),On Demand,Cody Rigsby,30,Cycling,Music,30 min Pop Ride,2019-11-27 12:20 (EST),125,70,37%,68,13.42,6.70,154,,,
2020-10-24 09:30 (EST),Live,Robin Arzon,30,Cycling,Music,30 min Pop Ride,2020-10-24 09:23 (EST),158,88,37%,80,15.10,7.55,194,,,
2020-10-24 10:10 (EST),On Demand,Tunde Oyeneyin,20,Cycling,Beginner,20 min Beginner Ride,2019-12-19 16:00 (EST),87,73,34%,78,14.06,4.68,107,,,
2020-10-24 10:33 (EST),On Demand,Kendall Toole,15,Cycling,Music,15 min Pop Ride,2019-12-20 13:00 (EST),72,80,36%,75,14.42,3.60,89,,,
2020-10-24 10:51 (EST),On Demand,Ally Love,20,Cycling,Low Impact,20 min Recovery Ride,2019-11-09 07:00 (EST),69,58,31%,78,12.73,4.24,85,,,
2020-10-24 11:13 (EST),On Demand,Tunde Oyeneyin,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-10-19 08:30 (EST),,,,,,,11,,,
2020-10-25 09:30 (EST),Live,Jenn Sherman,45,Cycling,Intervals,45 min Intervals & Arms Ride,2020-10-25 09:22 (EST),,,,,,,,,,
